day,LHS,RHS,case,T_star
1.0,0.26612397741072175,0.46641610469376266,Case 1: Classical Reed,426.1836275319713
2.0228864790348005,0.3779730880359105,0.392709539734729,Case 1: Classical Reed,426.1836275319713
3.0457729580696014,0.5082819146474499,0.40923426685707626,Case 1: Classical Reed,426.1836275319713
4.068659437104402,0.6566337409700523,0.4525401774549374,Case 1: Classical Reed,426.1836275319713
5.091545916139203,0.822640071272876,0.5100865996323355,Case 1: Classical Reed,426.1836275319713
6.114432395174004,1.00594231359241,0.5776637912256779,Case 1: Classical Reed,426.1836275319713
7.137318874208804,1.2062132797797336,0.6534275551316917,Case 1: Classical Reed,426.1836275319713
8.160205353243605,1.4231585195242829,0.7364206222648568,Case 1: Classical Reed,426.1836275319713
9.183091832278405,1.6565175049805398,0.8260823793713743,Case 1: Classical Reed,426.1836275319713
10.205978311313206,1.90606468205221,0.9220535348215022,Case 1: Classical Reed,426.1836275319713
11.228864790348007,2.171610403780924,1.024087640681999,Case 1: Classical Reed,426.1836275319713
12.251751269382808,2.4530017606559857,1.132007012649534,Case 1: Classical Reed,426.1836275319713
13.274637748417607,2.750123322016078,1.2456790927522838,Case 1: Classical Reed,426.1836275319713
14.297524227452408,3.0628978020624453,1.3650030112462193,Case 1: Classical Reed,426.1836275319713
15.320410706487209,3.391286663352979,1.4899015764114916,Case 1: Classical Reed,426.1836275319713
16.34329718552201,3.735290670004304,1.620316310722674,Case 1: Classical Reed,426.1836275319713
17.36618366455681,4.094950402199361,1.756204274762342,Case 1: Classical Reed,426.1836275319713
18.38907014359161,4.470346742986745,1.8975359809613204,Case 1: Classical Reed,426.1836275319713
19.411956622626413,4.861601347768053,2.044293994018234,Case 1: Classical Reed,426.1836275319713
20.43484310166121,5.268877106304253,2.1964719767962246,Case 1: Classical Reed,426.1836275319713
21.457729580696014,5.692378606535069,2.354074032936246,Case 1: Classical Reed,426.1836275319713
22.480616059730814,6.132352608996723,2.51711425198836,Case 1: Classical Reed,426.1836275319713
23.503502538765616,6.589088540147285,2.6856163960327573,Case 1: Classical Reed,426.1836275319713
24.526389017800415,7.062919012463518,2.859613687462,Case 1: Classical Reed,426.1836275319713
25.549275496835214,7.554220378762901,3.0391486708235362,Case 1: Classical Reed,426.1836275319713
26.572161975870017,8.063413327825263,3.224273130246603,Case 1: Classical Reed,426.1836275319713
27.595048454904816,8.590963528046354,3.41504804971801,Case 1: Classical Reed,426.1836275319713
28.61793493393962,9.13738232554396,3.611543607347597,Case 1: Classical Reed,426.1836275319713
29.640821412974418,9.703227502862237,3.813839197433113,Case 1: Classical Reed,426.1836275319713
30.66370789200922,10.289104104175326,4.022023475986615,Case 1: Classical Reed,426.1836275319713
31.68659437104402,10.895665332682777,4.236194426698344,Case 1: Classical Reed,426.1836275319713
32.70948085007882,11.52361352570936,4.456459445246918,Case 1: Classical Reed,426.1836275319713
33.73236732911362,12.17370121287677,4.682935440541068,Case 1: Classical Reed,426.1836275319713
34.755253808148424,12.846732262597921,4.9157489519712305,Case 1: Classical Reed,426.1836275319713
35.77814028718322,13.543563122059554,5.155036282112321,Case 1: Classical Reed,426.1836275319713
36.80102676621802,14.265104155802328,5.400943644589434,Case 1: Classical Reed,426.1836275319713
37.823913245252825,15.012321087979615,5.653627327023301,Case 1: Classical Reed,426.1836275319713
38.84679972428763,15.786236553376545,5.913253869125276,Case 1: Classical Reed,426.1836275319713
39.86968620332242,16.58793176229748,6.180000256134959,Case 1: Classical Reed,426.1836275319713
40.892572682357226,17.41854828448434,6.454054127884241,Case 1: Classical Reed,426.1836275319713
41.91545916139203,18.279289957306453,6.73561400384983,Case 1: Classical Reed,426.1836275319713
42.938345640426824,19.171424923567113,7.024889524615185,Case 1: Classical Reed,426.1836275319713
43.96123211946163,20.09628780440194,7.322101710217436,Case 1: Classical Reed,426.1836275319713
44.98411859849643,21.05528201289448,7.627483235895201,Case 1: Classical Reed,426.1836275319713
46.00700507753123,22.049882214213735,7.941278725796557,Case 1: Classical Reed,426.1836275319713
47.02989155656603,23.08163693827556,8.263745065239965,Case 1: Classical Reed,426.1836275319713
48.05277803560083,24.152171351154355,8.59515173215502,Case 1: Classical Reed,426.1836275319713
49.07566451463563,25.26319019171361,8.935781148362945,Case 1: Classical Reed,426.1836275319713
50.09855099367043,26.41648088019575,9.285929051388207,Case 1: Classical Reed,426.1836275319713
51.12143747270523,27.613916805797107,9.645904887525042,Case 1: Classical Reed,426.1836275319713
52.144323951740034,28.857460800568436,10.016032226914849,Case 1: Classical Reed,426.1836275319713
53.16721043077484,30.149168807315355,10.3966492014234,Case 1: Classical Reed,426.1836275319713
