day,feed_accumulated,premium_accumulated,indemnity,stocking_compounded
0.0,0.0,0.0,9000.0,5000.0
0.9018036072144289,0.008248053500143697,51.459998252063855,9052.085958162068,5000.617711857222
1.8036072144288577,0.022167987816725597,102.9341845024752,9104.1918524596,5001.235500028034
2.7054108216432864,0.043874457006351654,154.42256365594378,9156.319802685664,5001.8533645218595
3.6072144288577155,0.07579983947347779,205.9251409603359,9208.472246033793,5002.471305348132
4.509018036072145,0.12068787625741918,257.4419220540455,9260.651932172184,5003.089322516277
5.410821643286573,0.18158767467251133,308.9729130125866,9312.861916880616,5003.707416035731
6.312625250501002,0.26184809788461183,360.51812039401096,9365.105554470552,5004.325585915923
7.214428857715431,0.3651125590406668,412.07755128370343,9417.38649564708,5004.943832166287
8.11623246492986,0.4953142367588637,463.65121333854046,9469.708681856257,5005.56215479626
9.01803607214429,0.6566717271309624,515.2391148304014,9522.076340501222,5006.180553815277
9.919839679358718,0.853685145881525,566.8412646886762,9574.493979358052,5006.799029232776
10.821643286573146,1.0911326929661742,618.4576725424753,9626.966386256978,5007.417581058194
11.723446893787575,1.374067690668013,670.0883487626298,9679.498625198863,5008.036209300971
12.625250501002004,1.7078161051627094,721.7333045028998,9732.096033946635,5008.6549139705485
13.527054108216433,2.0979745605636326,773.392551741298,9784.764221154493,5009.273695076367
14.428857715430862,2.55040885362323,825.066103320415,9837.509064887096,5009.892552627873
15.330661322645291,3.071252976550798,876.7539729883788,9890.336712619554,5010.511486634507
16.23246492985972,3.6669086548044305,928.4561754392195,9943.253581979881,5011.130497105716
17.13426853707415,4.344045406221296,980.1727263538418,9996.26636056172,5011.749584050947
18.03607214428858,5.109601127460227,1031.9036424399178,10049.381997075836,5012.368747479647
18.937875751503007,5.970783213439758,1083.6489414719497,10102.60771472452,5012.987987401265
19.839679358717436,6.935070215257278,1135.4086423332838,10155.951013154427,5013.6073038252525
20.741482965931862,8.010214041967695,1187.1827650577857,10209.419668456565,5014.226696761059
21.64328657314629,9.204242711577297,1238.971330871483,10263.02173316631,5014.846166218138
22.54509018036072,10.525463656667503,1290.7743622332882,10316.76553626339,5015.4657122059425
23.44689378757515,11.982467590198421,1342.5918828789238,10370.65968650123,5016.085334733927
24.34869739478958,13.584132937251379,1394.4239178630453,10424.713092602855,5016.705033811548
25.250501002004007,15.33963083874831,1446.2704936025727,10478.93494236129,5017.324809448263
26.152304609218437,17.25843073353113,1498.1316379229156,10533.334731677893,5017.944661653531
27.054108216432866,19.350306525593208,1550.0073801027897,10587.922270223258,5018.564590436809
27.955911823647295,21.625343343724044,1601.897750925381,10642.707681437214,5019.18459580756
28.857715430861724,24.093944901357084,1653.8027827178164,10697.701402528815,5019.804677775245
29.759519038076153,26.766841464991604,1705.7225094064709,10752.914190034406,5020.424836349325
30.661322645290582,29.65509844019973,1757.656966568057,10808.357156259326,5021.045071539267
31.56312625250501,32.770125584915434,1809.606191472685,10864.041725737481,5021.665383354535
32.46492985971944,36.123686860442845,1861.5702231425983,10919.979694228206,5022.285771804596
33.366733466933866,39.72791093140835,1913.5491024053952,10976.183241343215,5022.906236898917
34.2685370741483,43.59530232671535,1965.5428719543745,11032.6649305466,5023.5267786469685
35.170340681362724,47.73875327444243,2017.5515764095203,11089.43770915483,5024.147397058217
36.07214428857716,52.171556224551914,2069.5752623610147,11146.514908336763,5024.768092142138
36.97394789579158,56.90741707424738,2121.6139784401403,11203.91026942595,5025.3888639082
37.875751503006015,61.96046911183657,2173.6677753920358,11261.637988324004,5026.009712365879
38.77755511022044,67.34528769601332,2225.7367061332516,11319.712661940768,5026.630637524648
39.67935871743487,73.0769056885815,2277.820825807791,11378.149377764905,5027.251639393984
40.5811623246493,79.1708296597876,2329.9201918796966,11436.963719011432,5027.872717983362
41.482965931863724,85.64305688662894,2382.034864184991,11496.171764621728,5028.493873302265
42.38476953907816,92.510093165736,2434.1649050318915,11555.79008926352,5029.115105360167
43.28657314629258,99.78897146371817,2486.310379285807,11615.83576499476,5029.73641416655
44.188376753507015,107.49727142919171,2538.4713543953076,11676.326457449239,5030.357799730898
45.09018036072144,115.65313979208358,2590.647900520114,11737.280355800562,5030.979262062691
45.99198396793587,124.27531167723977,2642.8400906041743,11798.716239721754,5031.600801171416
46.8937875751503,133.38313286083581,2695.0480004904393,11860.653544511715,5032.222417066555
47.79559118236473,142.9965829996221,2747.271709009892,11923.112361095244,5032.844109757596
48.69739478957916,153.13629986461322,2799.5112980325503,11986.113436023017,5033.465879254027
49.59919839679359,163.82360461247103,2851.7668526208513,12049.6781714716,5034.087725565335
50.501002004008015,175.0805281295152,2904.038461138729,12113.82864661621,5034.709648701011
51.40280561122245,186.92983848505818,2956.3262153205474,12178.587756018593,5035.331648670547
52.30460921843687,199.39506953255528,3008.630210396778,12243.979070794565,5035.953725483434
53.206412825651306,212.50055069895024,3060.950545235729,12310.027003486226,5036.575879149165
54.10821643286573,226.27143800452114,3113.287322412068,12376.756842990482,5037.198109677237
55.01002004008016,240.73374635754573,3165.640648436899,12444.194754559046,5037.820417077142
55.91182364729459,255.91438317017526,3218.0106338220276,12512.367779798444,5038.442801358379
56.813627254509015,271.8411833440541,3270.397393183049,12581.30383667,5039.065262530447
57.71543086172345,288.54294567644786,3322.801045423301,12651.031828075455,5039.687800602845
58.61723446893787,306.0494707399435,3375.2217139343375,12721.58168350093,5040.310415585072
59.519038076152306,324.39160029116243,3427.6595266819645,12792.984302370545,5040.93310748663
60.42084168336673,343.6012582664044,3480.114616335683,12865.271753244973,5041.555876317022
