t,cycle,biomass_kg,stock_value,feed_cost,premium_cost,premium_rate,hazard_rate,indemnity,fallow_days,phase,scenario
0.0,1,0.1,0.24728698198358734,0.0,0.0,62.93359316163677,0.0008300292306841371,8000.0,0.0,production,Baseline
6.384839650145772,1,2.8106662276004037,6.969258607936715,6.600610603107863,408.23224407401165,64.9468290929261,0.001003912272768751,8419.207945653256,0.0,production,Baseline
12.769679300291545,1,13.16588279306814,32.98587600108371,52.18913264854091,830.89981768157,67.35227540693403,0.0011940210717350846,8891.84296455717,0.0,production,Baseline
19.154518950437318,1,36.22578103596232,92.88325271448551,201.9127911720396,1270.7864567769907,70.24367696700254,0.00139358399750176,9485.836012755735,0.0,production,Baseline
25.53935860058309,1,76.66181600257428,204.71092247971515,552.2228177662898,1731.5058230666214,73.79017571207697,0.0015931226831385065,10301.25194661012,0.0,production,Baseline
31.924198250728864,1,138.45414252480413,393.4416188331846,1227.4405207860268,2218.0341655531183,78.24797858238031,0.0017809792339293412,11467.388465323651,0.0,production,Baseline
38.309037900874635,1,224.62939743036776,696.2819349535383,2374.498001503922,2737.2212087688436,83.93902579741233,0.0019443652225636643,13138.02721897566,0.0,production,Baseline
44.69387755102041,1,337.07028280458405,1170.5250052359274,4156.213985827756,3298.0262652989622,91.18535375074184,0.0020708381942662183,15484.946368313538,0.0,production,Baseline
51.07871720116618,1,476.4189948705248,1905.0675493942285,6743.638452314294,3911.2000313364542,100.20325555588057,0.002149975640380138,18689.9466419944,0.0,production,Baseline
57.46355685131196,1,642.0835039945997,3037.159032249766,10308.101383307321,4588.220788913587,110.98180238893289,0.0021749205984661337,22935.835995677313,0.0,production,Baseline
63.84839650145773,1,832.3415552937046,4776.29632258514,15013.61281457045,5339.5109774758785,123.18658319599861,0.0021434596309861747,28397.047463121242,0.0,production,Baseline
70.23323615160349,1,1044.524886454674,7437.235485659021,21010.189116254194,6172.234218693816,136.13144743486467,0.0020583802846483997,35230.760434418626,0.0,production,Baseline
76.61807580174927,1,1275.2576892251473,11483.573813133391,28428.53785170693,7088.202143668694,148.84373251579845,0.0019270216515886991,43569.49450723597,0.0,production,Baseline
83.00291545189505,1,1520.719807489135,17581.892543789076,37376.35713283997,8082.48761506538,160.21662591078135,0.0017601264443332669,53516.02075121604,0.0,production,Baseline
89.38775510204081,1,1776.9066031387792,26663.711377430438,47936.31507944804,9143.191024853173,169.2095877564986,0.0015702623716951504,65141.106877842816,0.0,production,Baseline
95.77259475218659,1,2039.862761793471,39988.42200957783,60165.615102001786,10252.48765909589,175.0394168498734,0.0013701556144957916,78484.13277090313,0.0,production,Baseline
102.15743440233236,1,2305.8737005262024,59195.33772130547,74096.92462640026,11388.722233941508,177.30892289790188,0.0011712546729396754,93556.10964871294,0.0,production,Baseline
108.54227405247813,1,2571.6072028986414,86328.33045619322,89740.37346245836,12529.04020521625,176.04418196326043,0.0009827399407606172,110344.31314860836,0.0,production,Baseline
114.92711370262391,1,2834.205747964096,123814.39011901469,107086.29090289702,13651.967216465047,171.6427009551149,0.0008110571262279829,128817.59802235583,0.0,production,Baseline
121.31195335276968,1,3091.329617417578,174379.11028907954,126108.39506865806,14739.443929711882,164.7600675808855,0.0006599274120202098,148931.62343707448,0.0,production,Baseline
127.69679300291546,1,3341.1600398984474,240890.49340239933,146767.09468938297,15778.043256902436,156.17339704959278,0.0005307054353358252,170633.37082148125,0.0,production,Baseline
134.08163265306123,1,3582.381706010821,326140.5113346102,169012.78100897552,16759.338393859303,146.6563489620244,0.0004229272778475677,193864.80456664518,0.0,production,Baseline
140.46647230320698,1,3814.1302775539207,432582.99658200116,192788.8652834026,17679.571502882085,136.88759686748386,0.00033490560416837693,218565.57868746226,0.0,production,Baseline
146.85131195335276,1,4035.9415185088133,562075.0213652342,218034.49704686136,18538.867783139613,127.40008960701041,0.0002642692936650797,244674.96677179605,0.0,production,Baseline
153.23615160349854,1,4247.685556539757,715661.6522648995,244686.91144859605,19340.245671958568,118.56695527521511,0.00020839153439028725,272133.22227132064,0.0,production,Baseline
159.62099125364432,1,4449.506037726754,893450.3401242866,272683.35928152583,20088.626979078996,110.61375277485739,0.00016469011748310408,300882.51957471186,0.0,production,Baseline
166.0058309037901,1,4641.764231627703,1.0945991618064304e6,301962.6841283444,20789.97713511206,103.64551711478687,0.00013081050124468164,330867.6672857552,0.0,production,Baseline
172.39067055393585,1,4824.984632370284,1.3174127486265346e6,332466.5285447409,21450.638198041084,97.67885807837592,0.0001047158418777043,362036.6468983161,0.0,production,Baseline
178.77551020408163,1,4999.812084786032,1.559529628228677e6,364140.23737489764,22076.863916325845,92.67252472975825,8.471162509931547e-5,394341.06260643987,0.0,production,Baseline
185.1603498542274,1,5166.974543758741,1.8181576891235455e6,396933.5145571149,22674.534810544847,88.55292928083045,6.94297466735444e-5,427736.49301047274,0.0,production,Baseline
191.54518950437318,1,5327.254082481224,2.0903188332577306e6,430800.851897923,23249.016599893344,85.2335130845295,5.7791336537627934e-5,462182.8006813024,0.0,production,Baseline
197.93002915451896,1,5481.463737552085,2.3730657792736683e6,465701.80971694074,23805.122165396187,82.62832437952163,4.896165648186964e-5,497644.35463068844,0.0,production,Baseline
204.3148688046647,1,5630.432163529515,2.6636538357714126e6,501601.1608802261,24347.147584102026,80.66093408139722,4.230528759687718e-5,534090.2274099034,0.0,production,Baseline
210.6997084548105,1,5774.990893530806,2.959651960654952e6,538468.9559455175,24878.94895174063,79.27003809238752,3.734601278938057e-5,571494.3226608039,0.0,production,Baseline
217.08454810495627,1,5915.967402636538,3.2590020817496018e6,576280.5223396937,25404.053253468603,78.41304624654225,3.373326370100784e-5,609835.4966250542,0.0,production,Baseline
223.46938775510205,1,6054.182099537427,3.5600351927294694e6,615016.4264848754,25925.78565309806,78.06878351004515,3.12154965644145e-5,649097.6402451053,0.0,production,Baseline
229.85422740524783,1,6190.44494950543,3.86144845027647e6,654662.427738097,26447.41350689946,78.24026281344102,2.9620095261327836e-5,689269.7795861743,0.0,production,Baseline
236.23906705539358,1,6325.557449519414,4.162268825972086e6,695209.420208229,26972.314248655515,78.95837517017256,2.883911481903121e-5,730346.1907664356,0.0,production,Baseline
242.62390670553935,1,6460.313627355229,4.461801321815593e6,736653.3814296027,27504.167896652754,80.28732312126876,2.8820181888092683e-5,772326.520893271,0.0,production,Baseline
249.00874635568513,1,6595.501278154039,4.759573409032238e6,778995.3394115441,28047.194070818492,82.33271272248004,2.9562030900027243e-5,815216.0293631866,0.0,production,Baseline
255.3935860058309,1,6731.9056766662725,5.055287004032809e6,822241.3450247128,28606.454839150643,85.25341070983615,3.1114395817208966e-5,859025.8282974462,0.0,production,Baseline
261.77842565597666,1,6870.3107113093065,5.348771988290929e6,866402.4645765715,29188.244284073247,89.27859985037644,3.358225048278728e-5,903773.256080476,0.0,production,Baseline
268.16326530612247,1,7011.499403635186,5.6399486182540385e6,911494.7771894644,29800.611458846175,94.73190366432308,3.713466438813174e-5,949482.4816340466,0.0,production,Baseline
274.5481049562682,1,7156.254002270897,5.928801133755305e6,957539.38332122,30454.06940982929,102.06498448931417,4.201878441909738e-5,996185.0781518139,0.0,production,Baseline
