t0_month,tau,t_calendar,I_baseline,I_xi_small,I_xi_full,OC,Y_H_baseline,Y_H_xi_small,Y_H_xi_full
1,0.0,0.0,8000.0,8000.0,8000.0,-14295.217142939568,7.492288189474088e6,7.4895736802324e6,4.77779714964029e6
1,3.526791125479855,3.526791125479855,8300.302261466031,8335.728692060102,43722.73181109006,35261.010362282395,7.492288189474088e6,7.4895736802324e6,4.77779714964029e6
1,7.05358225095971,7.05358225095971,8629.245336502387,8715.826350549332,95206.19852325575,85519.59177051485,7.492288189474088e6,7.4895736802324e6,4.77779714964029e6
1,10.580373376439566,10.580373376439566,8998.263681864699,9137.981309197681,148711.758325523,136719.0138913095,7.492288189474088e6,7.4895736802324e6,4.77779714964029e6
1,14.10716450191942,14.10716450191942,9422.391419734215,9617.84712460638,204873.88451376176,189137.8456595242,7.492288189474088e6,7.4895736802324e6,4.77779714964029e6
1,17.633955627399278,17.633955627399278,9920.276775827266,10176.250460984278,265887.2837115187,244559.46233533323,7.492288189474088e6,7.4895736802324e6,4.77779714964029e6
1,21.16074675287913,21.16074675287913,10514.154522494875,10854.209368349388,350562.17382147687,320997.30566978455,7.492288189474088e6,7.4895736802324e6,4.77779714964029e6
1,24.687537878358988,24.687537878358988,11229.761837339076,11660.110971924953,441572.00200041494,400235.05615760386,7.492288189474088e6,7.4895736802324e6,4.77779714964029e6
1,28.21432900383884,28.21432900383884,12096.173529229256,12624.241366390017,540156.5837431245,482773.2879078984,7.492288189474088e6,7.4895736802324e6,4.77779714964029e6
1,31.7411201293187,31.7411201293187,13145.526299476773,13779.955756566127,647567.3682231368,569082.1808679104,7.492288189474088e6,7.4895736802324e6,4.77779714964029e6
1,35.267911254798555,35.267911254798555,14412.58589809349,15168.23509313825,770058.9015279227,664637.1004288644,7.492288189474088e6,7.4895736802324e6,4.77779714964029e6
1,38.79470238027841,38.79470238027841,15934.129126917971,16853.576029222215,935378.1747699677,795538.3599164486,7.492288189474088e6,7.4895736802324e6,4.77779714964029e6
1,42.32149350575826,42.32149350575826,17748.111368173682,18845.956420853534,1.1155900098439301e6,932577.6007994562,7.492288189474088e6,7.4895736802324e6,4.77779714964029e6
1,45.84828463123812,45.84828463123812,19892.624860991575,21184.271398255387,1.3115356916463322e6,1.0759265756679922e6,7.492288189474088e6,7.4895736802324e6,4.77779714964029e6
1,49.375075756717976,49.375075756717976,22404.683507920203,23905.831827285983,1.5235493301274902e6,1.2255450746539235e6,7.492288189474088e6,7.4895736802324e6,4.77779714964029e6
1,52.90186688219783,52.90186688219783,25318.915695174037,27053.19125772887,1.7595832425502196e6,1.3893591841548234e6,7.492288189474088e6,7.4895736802324e6,4.77779714964029e6
1,56.42865800767768,56.42865800767768,28666.279968279137,30679.989511483163,2.0423641820685528e6,1.58931772519055e6,7.492288189474088e6,7.4895736802324e6,4.77779714964029e6
