node,V_at_node,Vtilde_at_node,tau_at_node,d_at_node,t0_at_node
0.0,116007.42521595389,116007.42521595392,304.2670715726667,0.0,0.0
17.38095238095238,115870.4783137666,115870.47831376661,314.9076037914522,0.0,17.38095238095238
34.76190476190476,115709.5970048715,115709.59700487148,322.9196909044601,0.0,34.76190476190476
52.142857142857146,115545.66385537956,115545.6638553796,327.6916758517525,0.0,52.142857142857146
69.52380952380952,115399.06023064473,115399.06023064471,330.6663987744426,0.0,69.52380952380952
86.9047619047619,115286.57703840596,115286.57703840591,331.62430339139746,0.0,86.9047619047619
104.28571428571429,115216.1289568087,115216.12895680871,331.09126925059167,0.0,104.28571428571429
121.66666666666667,115190.30124455717,115190.30124455718,328.86447606848634,0.0,121.66666666666667
139.04761904761904,115205.45955035195,115205.45955035194,325.0961767364251,0.0,139.04761904761904
156.42857142857142,115256.5691538541,115256.56915385411,319.99569208396986,0.0,156.42857142857142
173.8095238095238,115336.81195602161,115336.81195602163,313.62921627267133,0.0,173.8095238095238
191.1904761904762,115438.7421010169,115438.74210101692,306.3633475391487,0.0,191.1904761904762
208.57142857142858,115555.36846072605,115555.36846072605,298.65133927492855,0.0,208.57142857142858
225.95238095238096,115679.87298588567,115679.87298588565,290.85207507465486,0.0,225.95238095238096
243.33333333333334,115805.19425336615,115805.19425336613,283.34124407800266,0.0,243.33333333333334
260.7142857142857,115923.79247878918,115923.79247878921,276.6672521400523,0.0,260.7142857142857
278.0952380952381,116027.3650155701,116027.36501557013,271.59344048740127,0.0,278.0952380952381
295.4761904761905,116106.4827646458,116106.48276464577,269.15002202058724,0.0,295.4761904761905
312.85714285714283,116150.86990590673,116150.86990590673,270.8108837009307,0.0,312.85714285714283
330.23809523809524,116151.18465843519,116151.18465843517,278.129525773274,0.0,330.23809523809524
347.6190476190476,116102.84254823759,116102.8425482376,290.8386266164397,0.0,347.6190476190476
