day,survival,length_cm,weight_g,f_value,n_fish,v_stock
0.0,1.0,1.0,0.01,6.693515762748335e-5,10000.0,0.6693515762748335
0.9018036072144289,0.999864738607565,1.2124422585543257,0.017823097984107774,0.00011930845807785998,9998.196555425742,1.192869414587216
1.8036072144288577,0.9997294955107742,1.4241195728167924,0.028882804857457384,0.00019336377426891095,9996.393436092718,1.9329403638798555
2.7054108216432864,0.999594270707153,1.635034697134742,0.043710011406491896,0.0002926716330843729,9994.590641942272,2.9251331651870354
3.6072144288577155,0.9994590641942271,1.8451903759378894,0.06282370458967813,0.00042073215735177955,9992.788172915758,4.204287325950195
4.509018036072145,0.9993238759695223,2.0545893437740403,0.08673114780061422,0.0005809789429792308,9990.986028954541,5.804552502422273
5.410821643286573,0.9991887060305651,2.263234325344655,0.11592805878858656,0.0007767831798202727,9989.184210000001,7.759430274454259
6.312625250501002,0.9990535543748821,2.471128035540346,0.15089878526479253,0.0010114579938241724,9987.382715993523,10.101818085473022
7.214428857715431,0.9989184210000002,2.6782731794761503,0.19211647822208622,0.001288262989765098,9985.581546876503,12.864055138122318
8.11623246492986,0.9987833059034467,2.8846724525267646,0.2400432629958309,0.0016104089755419133,9983.780702590351,16.07797005329365
9.01803607214429,0.9986482090827493,3.090328540361604,0.29513040809307745,0.001981062850694398,9981.980183076485,19.774930117060492
9.919839679358718,0.998513130535436,3.2952441189797383,0.35781849181699976,0.002403352643388971,9980.179988276333,23.985891956321638
10.821643286573146,0.9983780702590351,3.499421854744753,0.42853756671321763,0.002880372681683741,9978.380118131336,28.74145349972168
11.723446893787575,0.9982430282510752,3.702864404419387,0.5077073218642684,0.0034151888863862773,9976.580572582943,34.071907095622514
12.625250501002004,0.9981080045090854,3.9055744152001353,0.5957372430582857,0.004010844174267839,9974.781351572616,40.00729367355051
13.527054108216433,0.997972999030595,4.107554524751706,0.6930267708575558,0.004670363961791484,9972.982455041825,46.577457849606105
14.428857715430862,0.9978380118131336,4.3088073612413,0.7999654565923375,0.005396761760850201,9971.183882932055,53.81210388981354
15.330661322645291,0.9977030428542311,4.509335543372863,0.9169331163051208,0.006193044859294534,9969.385635184794,61.74085245830596
16.23246492985972,0.997568092151418,4.709141680421098,1.0442999826700432,0.0070622200802556954,9967.58771174155,70.39329808957109
17.13426853707415,0.9974331597022248,4.908228372265484,1.182426854912129,0.008007299615444797,9965.790112543831,79.79906733577577
18.03607214428858,0.9972982455041826,5.10659820942405,1.33166524675045,0.009031306928727046,9963.992837533166,89.98787755139993
18.937875751503007,0.9971633495548227,5.304253773087098,1.4923575323892906,0.010137282727339625,9962.195886651087,100.98959628812193
