T_harvest,d_star,Vtilde,residual
0.0,0.0,1.8330593897705365e7,-11416.188509321304
4.506172839506172,0.0,1.8291349809625782e7,-11423.45365099196
9.012345679012345,0.0,1.8241920035283048e7,-16683.157440635616
13.518518518518519,0.0,1.8168967153347705e7,-17564.232178894275
18.02469135802469,0.0,1.8130696109050922e7,-3831.578682178305
22.530864197530864,82.76804585196179,1.88333065721171e7,-0.0006243905750125123
27.037037037037038,78.26187898189008,1.883330658731377e7,-1.8821583580574952e-5
31.54320987654321,73.75570979729794,1.8833306596909378e7,0.0004152013739258109
36.04938271604938,69.24954147503264,1.883330660882253e7,8.270777789221029e-5
40.55555555555556,64.743362252895,1.883330659229181e7,-0.0002458335188748606
45.06172839506173,60.23713442510016,1.8833306450259477e7,-0.0009991140013880795
49.5679012345679,55.731015883090016,1.883330659044703e7,0.0008513122925251082
54.074074074074076,51.22484194171598,1.8833306586824905e7,0.0004960432506777579
58.58024691358025,46.71867308790515,1.8833306597788054e7,-0.0002700185050343862
63.08641975308642,42.21249400605225,1.8833306581727743e7,0.001338787484655768
67.5925925925926,37.70633135735369,1.8833306608114798e7,0.00031492756579609704
72.09876543209876,33.2001562115788,1.883330660207951e7,0.0004911968640044506
76.60493827160494,28.69397890824454,1.883330659059913e7,0.0004256584138602193
81.11111111111111,24.18778841426606,1.8833306545179807e7,-0.0004811139069715864
85.61728395061728,19.681638174984496,1.883330660343187e7,-0.0001460689109080704
90.12345679012346,15.175468440359703,1.883330661147092e7,-0.0009564149622747209
94.62962962962963,10.66929380320338,1.8833306606595222e7,-0.00019107534535578452
99.1358024691358,6.163121113202712,1.8833306607061226e7,9.242991609426099e-5
103.64197530864197,1.6569541309806581,1.8833306622204747e7,-0.00026220601284876466
108.14814814814815,0.0,1.8840293183520366e7,-255.39189700138377
112.65432098765432,0.0,1.884993460325626e7,-620.4837599829316
117.1604938271605,0.0,1.8858041165331744e7,-939.7505597484942
121.66666666666667,0.0,1.8864809009229757e7,-1217.378170675253
126.17283950617283,0.0,1.8870415800891493e7,-1457.419631190758
130.679012345679,0.0,1.8875021437656812e7,-1663.7538725187123
135.1851851851852,0.0,1.8878768874719534e7,-1840.0580953548651
139.69135802469137,0.0,1.8881785016881056e7,-1989.8141731252585
144.19753086419752,0.0,1.8884181642780975e7,-2116.2886943051876
148.7037037037037,0.0,1.8886056339061648e7,-2222.540803414249
153.20987654320987,0.0,1.8887493435362905e7,-2311.4207186734375
157.71604938271605,0.0,1.8888564923466593e7,-2385.5771419568528
162.22222222222223,0.0,1.8889331365119606e7,-2447.4534003500276
166.7283950617284,0.0,1.8889842761117354e7,-2499.3098250413373
171.23456790123456,0.0,1.8890139403604515e7,-2543.21113648615
175.74074074074073,0.0,1.8890252665932827e7,-2581.0560855345443
180.2469135802469,0.0,1.889020575869484e7,-2614.5831614546864
184.7530864197531,0.0,1.8890014423113998e7,-2645.3803433731423
189.25925925925927,0.0,1.88896875702776e7,-2674.8979242919145
193.76543209876544,0.0,1.8889227837774575e7,-2704.466070909876
198.2716049382716,0.0,1.8888632104745947e7,-2735.3096643203635
202.77777777777777,0.0,1.888789191085447e7,-2768.5840951199357
207.28395061728395,0.0,1.8886993820422135e7,-2805.337623168548
211.79012345679013,0.0,1.8885919706071857e7,-2846.604453837517
216.2962962962963,0.0,1.888464697451279e7,-2893.3106897686453
220.80246913580248,0.0,1.8883148700201824e7,-2946.4801974755264
225.30864197530863,0.0,1.8881393730558164e7,-3006.965536755304
229.8148148148148,0.0,1.8879346691015348e7,-3075.747967595258
234.320987654321,0.0,1.8876967946780805e7,-3153.7382063881937
238.82716049382717,0.0,1.887421352319337e7,-3241.9519036137076
243.33333333333334,0.0,1.887103493581624e7,-3341.3644243191284
247.8395061728395,0.0,1.8867379034166075e7,-3453.047963943032
252.34567901234567,0.0,1.8863187739966355e7,-3578.1080431240975
256.85185185185185,0.0,1.8858397801295534e7,-3717.724209755539
261.358024691358,0.0,1.8852940517694443e7,-3873.1115052589735
265.8641975308642,0.0,1.8846741449681677e7,-4045.5515844611696
270.3703703703704,0.0,1.883972016913791e7,-4236.456328152504
274.87654320987656,0.0,1.883178989637907e7,-4447.189564493477
279.38271604938274,0.0,1.8822857585911915e7,-4679.162078551757
283.8888888888889,0.0,1.881282356004152e7,-4933.81057166522
288.39506172839504,0.0,1.880158177229496e7,-5212.508636472051
292.9012345679012,0.0,1.8789020018195637e7,-5516.60795148971
297.4074074074074,0.0,1.8775020529916696e7,-5847.168425804106
301.91358024691357,0.0,1.8759460920082353e7,-6205.10097456585
306.41975308641975,0.0,1.8742215655117292e7,-6590.8580566030505
310.9259259259259,0.0,1.8723158149694026e7,-7004.407059464671
315.4320987654321,0.0,1.870216366458148e7,-7444.884487035117
319.9382716049383,0.0,1.8679113230897866e7,-7910.4761796887105
324.44444444444446,0.0,1.8653898730480753e7,-8398.0891189535
328.95061728395063,0.0,1.8626429473010853e7,-8903.055674083893
333.4567901234568,0.0,1.8596640461177025e7,-9418.545545155415
337.962962962963,0.0,1.856450259819716e7,-9935.27840814374
342.4691358024691,0.0,1.8530035505653553e7,-10440.832581966759
346.9753086419753,0.0,1.8493323893851522e7,-10918.511120993251
351.48148148148147,0.0,1.8454540875561345e7,-11345.217324053358
355.98765432098764,0.0,1.8413989676324412e7,-11684.36047381884
360.4938271604938,0.0,1.8372214663337167e7,-11855.441928242984
