node,fallow,V_at_node,tau_at_node,d_at_node,t0_at_node
0.0,optimal_fallow,63458.3399849787,133.6504913764919,0.0,0.0
4.506172839506172,optimal_fallow,63384.777759875986,157.0812848485218,49.5679012345679,54.07407407407407
9.012345679012345,optimal_fallow,63423.91583595019,183.62213603597576,45.06172839506172,54.07407407407406
13.518518518518519,optimal_fallow,63463.07889601459,202.37378599688788,40.55555555555555,54.07407407407407
18.02469135802469,optimal_fallow,63502.26572953125,218.76402767530837,36.04938271604938,54.07407407407407
22.530864197530864,optimal_fallow,63541.47675991872,307.31721932977837,31.543209876543205,54.07407407407407
27.037037037037038,optimal_fallow,63580.71200211794,311.2919700327461,27.03703703703703,54.07407407407407
31.54320987654321,optimal_fallow,63619.9714710791,312.3615212871101,22.53086419753086,54.07407407407407
36.04938271604938,optimal_fallow,63659.255181761604,312.56486749622127,18.02469135802469,54.07407407407407
40.55555555555556,optimal_fallow,63698.56314913409,312.3646190252881,13.518518518518514,54.07407407407407
45.06172839506173,optimal_fallow,63737.89538817445,312.06835707812206,9.012345679012343,54.07407407407407
49.5679012345679,optimal_fallow,63777.25191386983,311.5960732484886,4.506172839506173,54.07407407407407
54.074074074074076,optimal_fallow,63816.63281135083,310.70228731849323,0.0,54.074074074074076
58.58024691358025,optimal_fallow,63773.52910776861,306.41975308641975,0.0,58.58024691358025
63.08641975308642,optimal_fallow,63691.483020063955,309.0927035977966,0.0,63.08641975308642
67.5925925925926,optimal_fallow,63617.62239294008,307.7041153451395,0.0,67.5925925925926
72.09876543209876,optimal_fallow,63526.3582218059,306.1603879434574,0.0,72.09876543209876
76.60493827160494,optimal_fallow,63421.99858667443,304.44744512537045,0.0,76.60493827160494
81.11111111111111,optimal_fallow,63309.953455298964,302.5574781763396,0.0,81.11111111111111
85.61728395061728,optimal_fallow,63195.73813946727,300.4919280026619,0.0,85.61728395061728
90.12345679012346,optimal_fallow,63084.3372593898,298.2569991944645,0.0,90.12345679012346
94.62962962962963,optimal_fallow,62979.59403529991,295.8607672432771,0.0,94.62962962962963
99.1358024691358,optimal_fallow,62884.00406164651,293.31422731477466,0.0,99.1358024691358
103.64197530864197,optimal_fallow,62798.95981189402,290.6286231924168,0.0,103.64197530864197
108.14814814814815,optimal_fallow,62724.91733049454,287.81662753209537,0.0,108.14814814814815
112.65432098765432,optimal_fallow,62661.612765330145,284.8897106769443,0.0,112.65432098765432
117.1604938271605,optimal_fallow,62608.4780272321,281.85962914396396,0.0,117.1604938271605
121.66666666666667,optimal_fallow,62564.61740799378,278.7375464624267,0.0,121.66666666666667
126.17283950617283,optimal_fallow,62529.092200695086,275.5341981479206,0.0,126.17283950617283
130.679012345679,optimal_fallow,62500.972555031825,272.25816275518105,0.0,130.679012345679
