t0,residual,Vtilde
0.0,-11416.188509321304,1.8330593897705365e7
4.506172839506172,-11423.45365099196,1.8291349809625782e7
9.012345679012345,-16683.157440635616,1.8241920035283048e7
13.518518518518519,-17564.232178894275,1.8168967153347705e7
18.02469135802469,-3831.578682178305,1.8130696109050922e7
22.530864197530864,4479.261875035399,1.8147046849113483e7
27.037037037037038,7892.046849839217,1.8187041010500252e7
31.54320987654321,9549.778276780191,1.823805355251167e7
36.04938271604938,10213.298443336611,1.829414776717901e7
40.55555555555556,10245.645428155549,1.835174395724339e7
45.06172839506173,9864.054985367628,1.8408523238219336e7
49.5679012345679,9214.750353306132,1.8462968376621548e7
54.074074074074076,8402.019314107449,1.8514118829048596e7
58.58024691358025,7501.81351469479,1.856141610679169e7
63.08641975308642,6569.082041402653,1.860459420100628e7
67.5925925925926,5642.70975257194,1.864359688477121e7
72.09876543209876,4749.1059941342355,1.8678513857829846e7
76.60493827160494,3905.241528868437,1.8709531622778125e7
81.11111111111111,3120.9664856451077,1.8736896421724956e7
85.61728395061728,2401.094507987995,1.8760887056644157e7
90.12345679012346,1746.8654661131181,1.878179559796821e7
94.62962962962963,1157.1422043620787,1.879991417852829e7
99.1358024691358,629.2899431931119,1.8815526370290753e7
103.64197530864197,159.792253691905,1.8828901819166183e7
108.14814814814815,-255.39189700138377,1.8840293183520366e7
112.65432098765432,-620.4837599829316,1.884993460325626e7
117.1604938271605,-939.7505597484942,1.8858041165331744e7
121.66666666666667,-1217.378170675253,1.8864809009229757e7
126.17283950617283,-1457.419631190758,1.8870415800891493e7
130.679012345679,-1663.7538725187123,1.8875021437656812e7
135.1851851851852,-1840.0580953548651,1.8878768874719534e7
139.69135802469137,-1989.8141731252585,1.8881785016881056e7
144.19753086419752,-2116.2886943051876,1.8884181642780975e7
148.7037037037037,-2222.540803414249,1.8886056339061648e7
153.20987654320987,-2311.4207186734375,1.8887493435362905e7
157.71604938271605,-2385.5771419568528,1.8888564923466593e7
162.22222222222223,-2447.4534003500276,1.8889331365119606e7
166.7283950617284,-2499.3098250413373,1.8889842761117354e7
171.23456790123456,-2543.21113648615,1.8890139403604515e7
175.74074074074073,-2581.0560855345443,1.8890252665932827e7
180.2469135802469,-2614.5831614546864,1.889020575869484e7
184.7530864197531,-2645.3803433731423,1.8890014423113998e7
189.25925925925927,-2674.8979242919145,1.88896875702776e7
193.76543209876544,-2704.466070909876,1.8889227837774575e7
198.2716049382716,-2735.3096643203635,1.8888632104745947e7
202.77777777777777,-2768.5840951199357,1.888789191085447e7
207.28395061728395,-2805.337623168548,1.8886993820422135e7
211.79012345679013,-2846.604453837517,1.8885919706071857e7
216.2962962962963,-2893.3106897686453,1.888464697451279e7
220.80246913580248,-2946.4801974755264,1.8883148700201824e7
225.30864197530863,-3006.965536755304,1.8881393730558164e7
229.8148148148148,-3075.747967595258,1.8879346691015348e7
234.320987654321,-3153.7382063881937,1.8876967946780805e7
238.82716049382717,-3241.9519036137076,1.887421352319337e7
243.33333333333334,-3341.3644243191284,1.887103493581624e7
247.8395061728395,-3453.047963943032,1.8867379034166075e7
252.34567901234567,-3578.1080431240975,1.8863187739966355e7
256.85185185185185,-3717.724209755539,1.8858397801295534e7
261.358024691358,-3873.1115052589735,1.8852940517694443e7
265.8641975308642,-4045.5515844611696,1.8846741449681677e7
270.3703703703704,-4236.456328152504,1.883972016913791e7
274.87654320987656,-4447.189564493477,1.883178989637907e7
279.38271604938274,-4679.162078551757,1.8822857585911915e7
283.8888888888889,-4933.81057166522,1.881282356004152e7
288.39506172839504,-5212.508636472051,1.880158177229496e7
292.9012345679012,-5516.60795148971,1.8789020018195637e7
297.4074074074074,-5847.168425804106,1.8775020529916696e7
301.91358024691357,-6205.10097456585,1.8759460920082353e7
306.41975308641975,-6590.8580566030505,1.8742215655117292e7
310.9259259259259,-7004.407059464671,1.8723158149694026e7
315.4320987654321,-7444.884487035117,1.870216366458148e7
319.9382716049383,-7910.4761796887105,1.8679113230897866e7
324.44444444444446,-8398.0891189535,1.8653898730480753e7
328.95061728395063,-8903.055674083893,1.8626429473010853e7
333.4567901234568,-9418.545545155415,1.8596640461177025e7
337.962962962963,-9935.27840814374,1.856450259819716e7
342.4691358024691,-10440.832581966759,1.8530035505653553e7
346.9753086419753,-10918.511120993251,1.8493323893851522e7
351.48148148148147,-11345.217324053358,1.8454540875561345e7
355.98765432098764,-11684.36047381884,1.8413989676324412e7
360.4938271604938,-11855.441928242984,1.8372214663337167e7
