day,LHS,RHS
1.0,107.58770300933271,188.61076083943485
2.5443973036147534,178.66485550815844,160.21491703701867
4.088794607229507,266.4160083626631,183.35022100080613
5.6331919108442605,370.175091695533,220.1405254720235
7.177589214459014,489.2937649489793,265.17196184478945
8.721986518073768,623.1410139278684,316.7554670755513
10.266383821688521,771.1027563053527,374.1275471635036
11.810781125303274,932.5814554210615,436.8471907293994
13.355178428918029,1106.9957422051104,504.6111888139236
14.899575732532782,1293.7800450645138,577.1842759456237
16.443973036147536,1492.384227571757,654.3686060542807
17.988370339762287,1702.2732337984112,735.988924082685
19.532767643377042,1922.926741139812,821.8847467503012
21.077164946991797,2153.838820479759,911.9059578607155
22.621562250606548,2394.517603547264,1005.9101867965529
24.165959554221303,2644.4849573200972,1103.7611728904778
25.710356857836057,2903.2761653329662,1205.3277015037702
27.25475416145081,3170.4396157507226,1310.482885388058
28.799151465065563,3445.536496069968,1419.1036620386747
30.343548768680318,3728.140494314814,1531.070430386149
31.88794607229507,4017.8375065955256,1646.2667798664966
33.432343375909824,4314.225350901137,1764.5792822603878
34.976740679524575,4616.913486999585,1885.8973271448654
36.52113798313933,4925.522742321811,2010.1129882783237
38.065535286754084,5239.68504370815,2137.120912349444
39.609932590368835,5559.043154898114,2266.818224190371
41.15432989398359,5883.250419646994,2399.1044443213527
42.698727197598345,6211.970510354687,2533.88141588624
44.243124501213096,6544.877182094818,2671.053238856147
45.787521804827854,6881.654031934274,2810.5262099477486
47.331919108442605,7221.994263435191,2952.208767105481
48.876316412057356,7565.600456234023,3096.011437684272
50.420713715672115,7912.184340594024,3241.846789678891
51.965111019286866,8261.466576829705,3389.6293854980445
53.50950832290162,8613.176539503804,3539.275737895208
55.053905626516375,8967.052106299187,3690.704267752475
56.598302930131126,9322.839451470163,3843.8352634780717
58.14270023374588,9680.292843779525,3998.5908418262243
59.687097537360636,10039.174448829344,4154.894909986223
61.23149484097539,10399.254135695619,4312.673128815748
62.77589214459014,10760.309287778631,4471.852877116922
64.32028944820489,11122.124617782141,4632.363216870316
65.86468675181965,11484.491986737086,4794.134859356877
67.4090840554344,11847.210226986403,4957.100132109024
68.95348135904915,12210.084969049554,5121.192946640049
70.49787866266391,12572.92847228705,5286.348766909772
72.04227596627867,12935.559459286573,5452.504578488695
73.58667326989341,13297.80295389403,5619.598858388821
75.13107057350817,13659.490122814483,5787.571545532601
76.67546787712293,14020.458120709067,5956.364011834835
78.21986518073767,14380.549938715934,6125.919033875341
79.76426248435243,14739.614256324137,6296.180765141881
81.30865978796719,15097.505296531377,6467.094708825213
82.85305709158193,15454.0826842175,6638.607691149692
84.39745439519669,15809.211307667001,6810.667835223672
85.94185169881145,16162.761183175457,6983.224535395826
87.48624900242619,16514.607322675685,7156.22843210404
89.03064630604095,16864.629604321057,7329.631387204535
90.57504360965571,17212.712645964293,7503.3864597694455
92.11944091327045,17558.745681471697,7677.44788234216
93.66383821688521,17902.622439813757,7851.77103763973
95.20823552049997,18244.241026873988,8026.3124356925555
96.75263282411471,18583.503809919766,8201.029691411952
98.29703012772947,18920.31730467909,8375.88150257642
99.84142743134423,19254.59206496928,8550.827628227946
101.38582473495897,19586.24257482375,8725.82886747004
102.93022203857373,19915.187143065057,8900.84703865928
104.47461934218849,20241.347800272582,9075.844958982723
106.01901664580323,20564.650198094878,9250.786424413487
107.56341394941799,20885.023510857216,9425.636190037128
109.10781125303275,21202.400339416396,9600.359950741959
110.6522085566475,21516.71661721538,9774.924322266006
112.19660586026225,21827.911518491368,9949.296822594115
113.74100316387701,22135.927368592198,10123.445853698639
