node,Q,xi,V,tau_star,d_star
0.0,0.1,0.0,87308.33038949923,356.0975609756097,0.0
8.902439024390244,0.1,0.0,87372.51261333536,347.19512195121956,0.0
17.804878048780488,0.1,0.0,87424.21973691921,339.3703549613084,0.0
26.70731707317073,0.1,0.0,87462.72803575858,334.607797453686,0.0
35.609756097560975,0.1,0.0,87484.48600411267,329.39824809162104,0.0
44.51219512195122,0.1,0.0,87482.30702648009,325.2928383151034,0.0
53.41463414634146,0.1,0.0,87451.91268715271,320.5822179542973,0.0
62.31707317073171,0.1,0.0,87385.52853505638,317.03418746743495,0.0
71.21951219512195,0.1,0.0,87284.89688175987,312.96854848735154,0.0
80.1219512195122,0.1,0.0,87152.31397707952,309.7828923006463,0.0
89.02439024390245,0.1,0.0,86997.35501520886,305.975471218541,0.0
97.92682926829268,0.1,0.0,86834.3476456034,302.68292682926824,0.0
106.82926829268293,0.1,0.0,86669.66114409873,299.3324385115911,0.0
115.73170731707317,0.1,0.0,86520.43082783528,295.45612526280047,0.0
124.63414634146342,0.1,0.0,86390.42145812901,293.35085781624747,0.0
133.53658536585365,0.1,0.0,86281.797238883,289.29282153452743,0.0
142.4390243902439,0.1,0.0,86200.69206010389,285.24706328128116,0.0
151.34146341463415,0.1,0.0,86139.48061190837,284.07475853750077,0.0
160.2439024390244,0.1,0.0,86100.5710215781,279.9422326703911,0.0
169.14634146341464,0.1,0.0,86081.78791452684,276.28731484357013,0.0
178.0487804878049,0.1,0.0,86076.3872136238,274.68228506914045,0.0
186.9512195121951,0.1,0.0,86085.94823591848,271.56304546336736,0.0
195.85365853658536,0.1,0.0,86106.6104347449,268.5930659191166,0.0
204.7560975609756,0.1,0.0,86135.38212782805,265.2526416947858,0.0
213.65853658536585,0.1,0.0,86172.47610882911,263.50604453535686,0.0
222.5609756097561,0.1,0.0,86215.67687479104,262.0776467721325,0.0
231.46341463414635,0.1,0.0,86263.54930218578,260.9822889637909,0.0
240.3658536585366,0.1,0.0,86315.0202714374,261.27570403588203,0.0
249.26829268292684,0.1,0.0,86371.15473521693,256.63970110396906,0.0
258.1707317073171,0.1,0.0,86429.16688142999,256.15852261144306,0.0
267.0731707317073,0.1,0.0,86488.96072809008,257.12440553404446,0.0
275.9756097560976,0.1,0.0,86552.00214928335,263.51047111035155,0.0
284.8780487804878,0.1,0.0,86615.06622830193,271.7282026679102,0.0
293.780487804878,0.1,0.0,86601.66135649898,274.29839618551375,17.80487804878047
302.6829268292683,0.1,0.0,86707.33756225501,290.4554728345849,8.902439024390192
311.5853658536585,0.1,0.0,86813.14272004596,338.2926829268292,0.0
320.4878048780488,0.1,0.0,86888.88222440328,329.3902439024389,0.0
329.390243902439,0.1,0.0,86957.85182688788,320.4878048780487,0.0
338.2926829268293,0.1,0.0,87018.25487563129,311.5853658536584,0.0
347.1951219512195,0.1,0.0,87130.49092990207,302.6829268292683,8.902439024390247
356.0975609756098,0.1,0.0,87236.8124431722,362.81320674325013,0.0
0.0,0.1,0.25,107964.49974541756,356.0975609756097,0.0
8.902439024390244,0.1,0.25,108000.31941213511,347.19512195121956,0.0
17.804878048780488,0.1,0.25,108008.69220571345,338.29277592682905,0.0
26.70731707317073,0.1,0.25,107982.73721484732,329.59404337740966,0.0
35.609756097560975,0.1,0.25,107953.2198289666,326.16026692418734,0.0
44.51219512195122,0.1,0.25,107908.16813569337,326.1677314401434,0.0
53.41463414634146,0.1,0.25,107806.76963232871,320.5823179542971,0.0
62.31707317073171,0.1,0.25,107676.78665833117,317.0342874674348,0.0
71.21951219512195,0.1,0.25,107520.57927408256,313.06182361540084,0.0
80.1219512195122,0.1,0.25,107346.44876638608,309.8688532885631,0.0
89.02439024390245,0.1,0.25,107155.15958255259,304.5291802533369,0.0
97.92682926829268,0.1,0.25,106994.54436027339,302.4341997048975,0.0
106.82926829268293,0.1,0.25,106852.23043249617,301.91162281574935,0.0
115.73170731707317,0.1,0.25,106691.12362238356,295.45622526280033,0.0
124.63414634146342,0.1,0.25,106570.75326986474,293.35095781624733,0.0
133.53658536585365,0.1,0.25,106461.30170982203,289.2929215345272,0.0
142.4390243902439,0.1,0.25,106379.6185063807,285.4203848400356,0.0
151.34146341463415,0.1,0.25,106332.67550574918,284.2799979228123,0.0
160.2439024390244,0.1,0.25,106289.12664202141,279.94233267039374,0.0
169.14634146341464,0.1,0.25,106265.09477673276,275.97565875609746,0.0
178.0487804878049,0.1,0.25,106206.91247791324,267.6756107887574,0.0
186.9512195121951,0.1,0.25,106296.56937354142,275.97565575609747,0.0
195.85365853658536,0.1,0.25,106292.78891304292,268.2933931014196,0.0
204.7560975609756,0.1,0.25,106325.91420072273,264.94587245145834,0.0
213.65853658536585,0.1,0.25,106342.47927551004,258.7085243716133,0.0
222.5609756097561,0.1,0.25,106382.61234583816,255.31115553535574,0.0
231.46341463414635,0.1,0.25,106457.80692188618,255.41542395888266,0.0
240.3658536585366,0.1,0.25,106512.22868639985,252.36523420426124,0.0
249.26829268292684,0.1,0.25,106615.8055652858,261.157331104174,0.0
258.1707317073171,0.1,0.25,106670.16141457125,256.2296320621114,0.0
267.0731707317073,0.1,0.25,106717.65396801435,250.47128019295843,0.0
275.9756097560976,0.1,0.25,106764.93358756883,246.21041564381142,0.0
284.8780487804878,0.1,0.25,106826.26759083994,246.62306122609004,0.0
293.780487804878,0.1,0.25,106856.4559995885,240.3658536585367,0.0
302.6829268292683,0.1,0.25,107226.41017690786,231.81518441130953,8.902439024390192
311.5853658536585,0.1,0.25,107357.25385827429,371.07714534372946,0.0
320.4878048780488,0.1,0.25,107444.51586512716,364.9999999999999,0.0
329.390243902439,0.1,0.25,107197.64289153802,287.1074646059632,0.0
338.2926829268293,0.1,0.25,107238.67743042478,288.228347425451,0.0
347.1951219512195,0.1,0.25,107777.27839024222,302.6829268292683,8.902439024390247
356.0975609756098,0.1,0.25,107908.79427190764,364.9999999999999,0.0
0.0,0.1,0.5,114952.50217024072,356.0975609756098,0.0
8.902439024390244,0.1,0.5,114980.69186420485,347.19512195121956,0.0
17.804878048780488,0.1,0.5,114975.99611848834,338.2926829268293,0.0
26.70731707317073,0.1,0.5,114951.02459473038,333.2213025811353,0.0
35.609756097560975,0.1,0.5,114903.02067939393,329.390243902439,0.0
44.51219512195122,0.1,0.5,114814.14819048639,325.2930693151029,0.0
53.41463414634146,0.1,0.5,114692.13028609738,320.58511279467314,0.0
62.31707317073171,0.1,0.5,114538.86167317079,317.04858871907715,0.0
71.21951219512195,0.1,0.5,114363.48167787038,312.9687794873588,0.0
80.1219512195122,0.1,0.5,114181.02272545136,309.7831233006518,0.0
89.02439024390245,0.1,0.5,113991.58741313656,305.9757022185404,0.0
97.92682926829268,0.1,0.5,113815.68397685784,302.6831578292689,0.0
106.82926829268293,0.1,0.5,113643.84307701071,299.3326695115955,0.0
115.73170731707317,0.1,0.5,113491.49000681951,295.4563562628026,0.0
124.63414634146342,0.1,0.5,113373.90941956342,293.3510888162496,0.0
