t,V_xi0,Vtilde_xi0,tau_star_xi0,d_star_xi0,V_xi_small,Vtilde_xi_small,tau_star_xi_small,d_star_xi_small,V_xi_mid,Vtilde_xi_mid,tau_star_xi_mid,d_star_xi_mid,W
186.15,106551.16743120935,106478.74891460933,294.29341315195677,0.0,107037.72001021777,106962.90766295748,294.4069294065157,0.0,112572.02816125087,112471.26236133683,300.856809499994,0.0,1.3476447435410345e8
187.975,106557.66709255548,106484.24715453171,293.4003224418712,0.0,107044.33249278046,106968.53610115172,293.5084621559294,0.0,112580.94742509426,112479.24845918539,300.39712480823744,0.0,1.3476887660364017e8
189.8,106564.1667539016,106489.74539445408,292.5072317317856,0.0,107050.94497534317,106974.16453934595,292.6099949053431,0.0,112589.86668893765,112487.23455703392,299.9374401164809,0.0,1.3477327885317692e8
191.625,106571.27076020582,106495.85355768877,291.68876339251085,0.0,107058.1741494786,106980.41652128575,291.78889699126825,0.0,112599.26676013593,112495.84658209774,299.3440020801621,0.0,1.3478032293808907e8
193.45,106580.3086703759,106503.91347552289,291.1090866398305,0.0,107067.37673664675,106988.66384321135,291.2153809540301,0.0,112610.20541486987,112506.46157425045,298.3225533412442,0.0,1.3479582089620253e8
195.275,106589.34658054599,106511.97339335701,290.5294098871501,0.0,107076.5793238149,106996.91116513697,290.6418649167919,0.0,112621.14406960379,112517.07656640315,297.30110460232623,0.0,1.3481131885431603e8
197.1,106598.38449071608,106520.03331119113,289.9497331344698,0.0,107085.78191098306,107005.15848706258,290.06834887955375,0.0,112632.08272433773,112527.69155855586,296.2796558634083,0.0,1.348268168124295e8
198.925,106607.42240088616,106528.09322902525,289.3700563817894,0.0,107094.98449815123,107013.40580898819,289.4948328423156,0.0,112643.02137907165,112538.30655070856,295.2582071244904,0.0,1.3484231477054295e8
200.75,106616.46031105626,106536.15314685937,288.79037962910905,0.0,107104.18708531938,107021.6531309138,288.9213168050774,0.0,112653.96003380559,112548.92154286127,294.2367583855725,0.0,1.348578127286564e8
202.575,106625.49822122634,106544.2130646935,288.2107028764287,0.0,107113.38967248754,107029.90045283941,288.34780076783926,0.0,112664.89868853951,112559.53653501396,293.21530964665453,0.0,1.348733106867699e8
204.4,106634.53613139642,106552.2729825276,287.6310261237483,0.0,107122.59225965569,107038.14777476502,287.7742847306011,0.0,112675.83734327345,112570.15152716667,292.1938609077366,0.0,1.3488880864488336e8
206.225,106643.57404156652,106560.33290036173,287.051349371068,0.0,107131.79484682385,107046.39509669063,287.20076869336293,0.0,112686.77599800738,112580.76651931937,291.1724121688187,0.0,1.3490430660299683e8
208.05,106652.6119517366,106568.39281819585,286.47167261838763,0.0,107140.997433992,107054.64241861625,286.62725265612477,0.0,112697.71465274131,112591.38151147208,290.15096342990074,0.0,1.349198045611103e8
209.875,106662.43993026798,106577.43321736915,286.01016001406396,0.0,107150.99123727606,107063.9060587562,286.1665544185976,0.0,112709.22185255856,112608.42861824304,289.2312458715323,0.0,1.3493766360964805e8
211.7,106672.58393614386,106586.86580907812,285.595913069083,0.0,107161.30152700646,107073.57622618189,285.75098330095483,0.0,112720.95647040915,112628.04857086131,288.35222078538357,0.0,1.349564670943555e8
213.525,106682.72794201974,106596.2984007871,285.181666124102,0.0,107171.61181673688,107083.24639360758,285.3354121833121,0.0,112732.69108825973,112647.66852347959,287.47319569923485,0.0,1.3497527057906294e8
215.35,106692.87194789562,106605.73099249607,284.767419179121,0.0,107181.92210646729,107092.91656103327,284.91984106566935,0.0,112744.42570611031,112667.28847609786,286.5941706130862,0.0,1.3499407406377038e8
217.175,106703.01595377151,106615.16358420505,284.35317223414006,0.0,107192.23239619771,107102.58672845898,284.50426994802655,0.0,112756.1603239609,112686.90842871614,285.7151455269375,0.0,1.3501287754847783e8
219.0,106713.1599596474,106624.59617591403,283.93892528915904,0.0,107202.54268592811,107112.25689588467,284.0886988303838,0.0,112767.89494181148,112706.52838133441,284.83612044078876,0.0,1.3503168103318527e8
220.825,106723.30396552327,106634.02876762301,283.5246783441781,0.0,107212.85297565852,107121.92706331036,283.67312771274106,0.0,112779.62955966206,112726.14833395269,283.9570953546401,0.0,1.3505048451789272e8
222.65,106733.44797139916,106643.46135933198,283.11043139919707,0.0,107223.16326538894,107131.59723073605,283.25755659509827,0.0,112791.36417751263,112745.76828657096,283.0780702684914,0.0,1.3506928800260016e8
224.475,106743.59197727503,106652.89395104095,282.6961844542161,0.0,107233.47355511934,107141.26739816174,282.8419854774555,0.0,112803.09879536321,112765.38823918924,282.1990451823427,0.0,1.350880914873076e8
226.3,106753.96427041998,106662.66844700479,282.1670394520838,0.0,107243.9935741566,107151.25052612374,282.31123777117045,0.0,112814.95347864783,112782.12870218432,281.5129369443437,0.0,1.351049167499993e8
228.125,106765.30678445841,106673.89603605181,281.1495777070586,0.0,107255.4049427479,107162.56373636496,281.2909895631555,0.0,112827.31844002711,112786.63133428083,281.6467253109812,0.0,1.3511333456912413e8
229.95,106776.64929849686,106685.12362509883,280.1321159620333,0.0,107266.81631133922,107173.87694660618,280.2707413551406,0.0,112839.6834014064,112791.13396637734,281.78051367761867,0.0,1.3512175238824895e8
231.775,106787.9918125353,106696.35121414585,279.114654217008,0.0,107278.22767993053,107185.19015684741,279.25049314712567,0.0,112852.04836278566,112795.63659847384,281.9143020442562,0.0,1.3513017020737377e8
233.6,106799.33432657373,106707.57880319287,278.0971924719828,0.0,107289.63904852184,107196.50336708863,278.2302449391107,0.0,112864.41332416494,112800.13923057035,282.0480904108937,0.0,1.3513858802649862e8
235.425,106810.67684061217,106718.80639223989,277.0797307269575,0.0,107301.05041711315,107207.81657732987,277.20999673109577,0.0,112876.7782855442,112804.64186266685,282.18187877753115,0.0,1.3514700584562343e8
237.25,106822.0193546506,106730.0339812869,276.0622689819322,0.0,107312.46178570447,107219.12978757109,276.1897485230809,0.0,112889.14324692349,112809.14449476336,282.31566714416863,0.0,1.3515542366474825e8
239.075,106833.36186868905,106741.26157033393,275.044807236907,0.0,107323.87315429577,107230.44299781232,275.16950031506593,0.0,112901.50820830277,112813.64712685987,282.44945551080616,0.0,1.3516384148387307e8
240.9,106844.70438272749,106752.48915938094,274.0273454918817,0.0,107335.28452288709,107241.75620805354,274.149252107051,0.0,112913.87316968203,112818.14975895637,282.58324387744364,0.0,1.351722593029979e8
