t,cycle,biomass_kg,stock_value,feed_cost,premium_cost,premium_rate,hazard_rate,indemnity
69.5238095238095,1,0.1,0.24728698198358734,0.0,0.0,310.38490082602885,0.028668301342928245,8000.0
70.09801341947926,1,0.18105584349629178,0.4477637453403144,0.07918942254828339,178.46658517828047,311.17039138969307,0.028127529743102845,8178.939080390989
70.67221731514903,1,0.29642594697139,0.7331664829671686,0.21450889244487156,357.3393381579389,311.750836754237,0.02758630775553743,8358.340489858763
71.24642121081878,1,0.4517096886185202,1.1174114365964893,0.42728380471314803,536.5009080126074,312.127595491427,0.02704519906303703,8538.108201905532
71.82062510648855,1,0.6523153228083048,1.6139804533685624,0.7420015845763799,715.8348957903306,312.3026522268982,0.02650474915912723,8718.150306456902
72.3948290021583,1,0.9034618269770296,2.235936256744192,1.186202706781522,895.2262056001267,312.2785895752924,0.025965484749169043,8898.379246517141
72.96903289782806,1,1.2101808320021414,2.9959387332347798,1.7903728172916342,1074.561380850068,312.05855817908065,0.025427913231276005,9078.712054012625
73.54323679349783,1,1.5773186320477661,3.9062620767294156,2.5878359337970913,1253.7289206219696,311.6462440131522,0.024892522255581626,9259.070545177732
74.11744068916758,1,2.009538270025933,4.978812643428029,3.6146488512977832,1432.6195753047216,311.04583506556867,0.02435977936011405,9439.381537893174
74.69164458483733,1,2.51132169719502,6.225147386894252,4.909496751904875,1611.1266318834444,310.26198501613675,0.023830131681268876,9619.576995233665
75.2658484805071,1,3.086972001531655,7.656492743447106,6.513590052066836,1789.146159249513,309.2997771072632,0.023304005736628747,9799.594197558494
75.84005237617686,1,3.7406157010200043,9.283763851837252,8.470562542787208,1966.5772592585015,308.1646869168181,0.022781807277660018,9979.375887709988
76.41425627184663,1,4.476205097414427,11.11758399931294,10.826370863730777,2143.3222680604877,306.862543437991,0.022263921209622912,10158.870351932168
76.98846016751638,1,5.297520694580713,13.168304216746176,13.629195382187373,2319.2869529239215,305.39949128355926,0.02175071157586317,10338.031533861662
77.56266406318613,1,6.208173667269796,15.446022908873623,16.92934240348502,2494.3806920657526,303.78195273031,0.021242521603506308,10516.819124731586
78.1368679588559,1,7.2116083884072255,17.960605469498216,20.77914771716754,2668.516601047428,302.0165888507515,0.020739673807455148,10695.198585328862
78.71107185452566,1,8.31110499359653,20.721703766001173,25.232881736812054,2841.611685568475,300.1102617392481,0.020242470149491456,10873.141170019351
79.28527575019542,1,9.509781993128035,23.73877546383928,30.346656528320935,3013.58693090338,298.0699987782489,0.01975119224920566,11050.623990012653
79.85947964586518,1,10.810598937096044,27.021103157427106,36.17833312735227,3184.3673836776793,295.90295550608033,0.019266101643424474,11227.62995643698
80.43368354153493,1,12.2163591207132,30.577813233995204,42.78743154202764,3353.8822289517134,293.61638100128374,0.01878744009076942,11404.147763932047
81.0078874372047,1,13.72971229909783,34.417894357442606,50.23504268250274,3522.064827385033,291.21758451000585,0.01831542991796595,11580.17185558699
81.58209133287446,1,15.35315748536879,38.55021572966586,58.58373920678374,3688.8527360542084,288.71390395655703,0.017850274404524236,11755.702394564632
82.15629522854422,1,17.089045709912586,42.98354479574494,67.89749246045338,3854.1877331856635,286.1126737561001,0.017392158202433547,11930.74510738156
82.73049912421398,1,18.939582836737006,47.72656461596216,78.24158570460023,4018.0157798277196,283.4211967059273,0.016941247787548526,12105.311226606551
83.30470301988373,1,20.90683241867653,52.78789084459616,89.68253416970688,4180.287014270124,280.64671743600115,0.01649769193939635,12279.4174140588
83.8789069155535,1,22.992718580289054,58.176088276944114,102.28800201559473,4340.955713948353,277.79639718042165,0.016061622246198747,12453.085647043954
84.45311081122325,1,25.19902890585017,63.899686899616704,116.12672545235387,4499.980252946402,274.8772888371738,0.015633153631979656,12626.34300155986
85.02731470689301,1,27.527417273032736,69.9671972844389,131.26843250779928,4657.322985619723,271.8963160344764,0.015212384902717709,12799.221534043896
85.60151860256278,1,29.979406882331038,76.38712597554391,147.78377097496391,4812.950187967256,268.8602548676544,0.014799399308599985,12971.758203005716
