t0,tau
0.0,182.26035841316028
4.506172839506172,179.1992271135568
9.012345679012345,191.12519009504751
13.518518518518519,226.1577063531766
18.02469135802469,262.60631540330036
22.530864197530864,290.4422735848189
27.037037037037038,302.77157650034746
31.54320987654321,310.6759212778178
36.04938271604938,316.25031454545007
40.55555555555556,320.3487695175768
45.06172839506173,323.4150547958358
49.5679012345679,325.7127383387464
54.074074074074076,327.41220038406965
58.58024691358025,328.630378441538
63.08641975308642,329.45098178089694
67.5925925925926,329.93588313241474
72.09876543209876,330.1319856754578
76.60493827160494,330.0755212769203
81.11111111111111,329.79496139733044
85.61728395061728,329.3129843106996
90.12345679012346,328.6478973145543
94.62962962962963,327.81465987586694
99.1358024691358,326.8256631610556
103.64197530864197,325.69131726057554
108.14814814814815,324.4205076258649
112.65432098765432,323.02094932280454
117.1604938271605,321.4994729164738
121.66666666666667,319.86224073238185
126.17283950617283,318.11492612201073
130.679012345679,316.2628548039521
135.1851851851852,314.3110951343117
139.69135802469137,312.2645618271091
144.19753086419752,310.1280590845905
148.7037037037037,307.90631818703474
153.20987654320987,305.604053023324
157.71604938271605,303.22595449094587
162.22222222222223,300.7766941985997
166.7283950617284,298.2609592891452
171.23456790123456,295.683430090357
175.74074074074073,293.0487797061553
180.2469135802469,290.3616828352863
184.7530864197531,287.6267713188363
189.25925925925927,284.84868877580766
193.76543209876544,282.0320615917062
198.2716049382716,279.1814905974154
202.77777777777777,276.30156328262206
207.28395061728395,273.3968694453715
211.79012345679013,270.47193321254144
216.2962962962963,267.5313876398095
220.80246913580248,264.579831824532
225.30864197530863,261.6217752237924
229.8148148148148,258.66197814990994
234.320987654321,255.7051559873024
238.82716049382717,252.75607409265868
243.33333333333334,249.81962467766195
247.8395061728395,246.90081453962773
252.34567901234567,244.0047790630066
256.85185185185185,241.13678295538074
261.358024691358,238.30226578522024
265.8641975308642,235.50683711182063
270.3703703703704,232.7562988570806
274.87654320987656,230.0566262362276
279.38271604938274,227.41398815757884
283.8888888888889,224.83471366905945
288.39506172839504,222.32521788307128
292.9012345679012,219.89206133838405
297.4074074074074,217.54176604341228
301.91358024691357,215.28064331858099
306.41975308641975,213.11479250175933
310.9259259259259,211.0496350892625
315.4320987654321,209.0895807579269
319.9382716049383,207.2374866929526
324.44444444444446,205.49368219219593
328.95061728395063,203.85459960505096
333.4567901234568,202.31052917625118
337.962962962963,200.84171121648734
342.4691358024691,199.411206660603
346.9753086419753,197.95046329720242
351.48148148148147,196.32636790669477
355.98765432098764,194.2509653143469
360.4938271604938,190.9459043701242
