t0_node,Vtilde_at_node
0.0,3.359979956395469e7
4.506172839506172,3.361202522088354e7
9.012345679012345,3.3623512087367475e7
13.518518518518519,3.363422036080392e7
18.02469135802469,3.364411274329504e7
22.530864197530864,3.3653155330949396e7
27.037037037037038,3.366131850760953e7
31.54320987654321,3.3668577855880536e7
36.04938271604938,3.36749150565864e7
40.55555555555556,3.368031865902446e7
45.06172839506173,3.3684784800587416e7
49.5679012345679,3.368831775528186e7
54.074074074074076,3.3690930266111344e7
58.58024691358025,3.3692643698437944e7
63.08641975308642,3.369348793933265e7
67.5925925925926,3.369350104689804e7
72.09876543209876,3.369272868443933e7
76.60493827160494,3.3691223327072136e7
81.11111111111111,3.36890433114881e7
85.61728395061728,3.3686251744398676e7
90.12345679012346,3.368291534441786e7
94.62962962962963,3.3679103242150195e7
99.1358024691358,3.367488580993673e7
103.64197530864197,3.367033352145604e7
108.14814814814815,3.366551588308047e7
112.65432098765432,3.366050045134849e7
117.1604938271605,3.365535192594395e7
121.66666666666667,3.3650131334661916e7
126.17283950617283,3.3644895297446206e7
130.679012345679,3.3639695406972915e7
135.1851851851852,3.3634577654485166e7
139.69135802469137,3.362958200713257e7
144.19753086419752,3.362474205815162e7
148.7037037037037,3.362008480224895e7
153.20987654320987,3.361563048973197e7
157.71604938271605,3.361139261233262e7
162.22222222222223,3.3607377959815085e7
166.7283950617284,3.3603586766855344e7
171.23456790123456,3.360001291230479e7
175.74074074074073,3.359664416543004e7
180.2469135802469,3.35934624528941e7
184.7530864197531,3.359044417087531e7
189.25925925925927,3.3587560420092404e7
193.76543209876544,3.358477728116484e7
198.2716049382716,3.358205603414788e7
202.77777777777777,3.357935331848646e7
207.28395061728395,3.3576621264471605e7
211.79012345679013,3.357380754898581e7
216.2962962962963,3.357085538597589e7
220.80246913580248,3.3567703492894925e7
225.30864197530863,3.356428585471274e7
229.8148148148148,3.356053168764025e7
234.320987654321,3.3556365007024996e7
238.82716049382717,3.3551704380592305e7
243.33333333333334,3.354646251248666e7
247.8395061728395,3.3540545775580492e7
252.34567901234567,3.3533853733342145e7
256.85185185185185,3.352627859566754e7
261.358024691358,3.3517704634696513e7
265.8641975308642,3.3508007612198178e7
270.3703703703704,3.3497054218503747e7
274.87654320987656,3.3484701500926167e7
279.38271604938274,3.347079648538465e7
283.8888888888889,3.3455175766135488e7
288.39506172839504,3.343766548810505e7
292.9012345679012,3.341808139127627e7
297.4074074074074,3.339622942231872e7
301.91358024691357,3.337190683322026e7
306.41975308641975,3.334490380883328e7
310.9259259259259,3.3315006236753672e7
315.4320987654321,3.3281999209925897e7
319.9382716049383,3.324567211034106e7
324.44444444444446,3.320582465921932e7
328.95061728395063,3.3162274398552515e7
333.4567901234568,3.2987400005687807e7
337.962962962963,3.3063466147131946e7
342.4691358024691,3.3007971447288405e7
346.9753086419753,3.2948207544153605e7
351.48148148148147,3.2883272515050773e7
355.98765432098764,3.357329876914511e7
360.4938271604938,3.358687660130836e7
