T_harvest,d_exact,d_fourier,Vtilde,residual_at_t0star
0.0,0.0,0.0,1.8330593897705365e7,-11416.188509321304
3.65,0.0,2.023663939516516,1.8298876578126203e7,-11200.690639453813
7.3,0.0,0.0,1.8263726212990344e7,-13872.750155528327
10.95,0.0,6.045988003113396,1.8211562903563567e7,-19324.62622217108
14.6,0.0,0.0,1.8154079617270477e7,-14794.523799376184
18.25,0.0,3.080205836289675,1.8130467182636768e7,-3172.6228316978622
21.9,83.39891345395657,73.7203107475738,1.88333065809137e7,-0.0016243831705651246
25.55,79.74892551552414,88.64434164160971,1.8833306611980416e7,0.0005794338071609673
29.2,76.09892075442865,69.57639133864609,1.883330659982842e7,0.00035571840135162347
32.85,72.44891812980146,76.20189215176921,1.8833306592924226e7,0.0005015407209612022
36.5,68.7989142062128,67.64808288420213,1.883330658222909e7,-0.0001437232140233391
40.15,65.14893679003595,64.29452424854883,1.8833306640467644e7,-0.0004489047582865169
43.8,61.49892880888541,63.50344184434934,1.8833306619901773e7,0.00022120510902823298
47.45,57.84892274921947,55.59588791372278,1.883330660488693e7,0.00014089576825426775
51.1,54.1989198987108,55.95531845233195,1.8833306597487036e7,-0.0002735162952376413
54.75,50.54893304702996,49.73148197577834,1.883330663163305e7,-0.0005337301195140753
58.4,46.89889544579975,46.69384402724119,1.8833306533836626e7,-0.0013766472034149047
62.05,43.24894662925948,44.24170664557803,1.883330666587834e7,9.86406389529293e-5
65.7,39.5989321211533,38.25389438041257,1.8833306628447305e7,0.00013435281107376795
69.35,35.948920932430944,37.166072787484445,1.883330660026745e7,-0.00013961908507553744
73.0,32.29889649904909,31.586103860472267,1.883330653734094e7,-0.0005839011832904362
76.65,28.648926076028506,28.684833503314685,1.883330661347089e7,0.00017069567229555105
80.3,24.99892769609587,25.579776364418954,1.8833306617518287e7,0.00010420359603813267
83.95,21.348900728091873,20.400390710599083,1.8833306548031565e7,-0.0008980292673186341
87.6,17.698922100539665,18.672826927540783,1.883330660260219e7,0.00026112584100701497
91.25,14.048928087307267,13.370974831040991,1.8833306618605915e7,-0.00013557469264924293
94.9,10.398920743384899,10.574897806417596,1.883330659967322e7,-0.0005582603130278585
98.55,6.7489197288561735,7.124358622032092,1.8833306596820638e7,-0.00022698926431985456
102.2,3.0989133841904892,2.2253244991065397,1.8833306580799386e7,-0.0003560365494195139
105.85,0.0,1.2156854135368191,1.8834714486562796e7,-50.23745008108472
109.5,0.0,0.0,1.8843357917293336e7,-371.264642477468
113.15,0.0,0.2466933345375657,1.8850897527558476e7,-658.5993369857197
116.8,0.0,0.1737847583551998,1.8857444272752944e7,-915.1894427843727
